UID,DL_method_availability
10.1016_j.ecoinf.2022.101914.pdf,No
10.1016_j.ecoinf.2022.101757.pdf,Yes
10.1016_j.ecoinf.2023.102150.pdf,Yes
10.1016_j.ecoinf.2021.101384.pdf,No
10.1016_j.ecoinf.2024.102655.pdf,No
10.1016_j.ecoinf.2024.102496.pdf,No
10.1016_j.ecoinf.2024.102640.pdf,Yes
10.1016_j.ecoinf.2024.102533.pdf,No
87.pdf,Yes
10.1016_j.ecoinf.2024.102700.pdf,No
10.1016_j.ecoinf.2023.102155.pdf,No
10.1016_j.ecoinf.2023.102252.pdf,No
10.1016_j.ecoinf.2024.102554.pdf,No
10.1016_j.ecoinf.2023.102258.pdf,Yes
10.1016_j.ecoinf.2024.102630.pdf,No
191.pdf,Yes
10.1016_j.ecoinf.2024.102518.pdf,No
10.1016_j.ecoinf.2024.102574.pdf,No
10.1016_j.ecoinf.2024.102555.pdf,No
146.pdf,Yes
10.1016_j.ecoinf.2022.101557.pdf,Yes
10.1016_j.ecoinf.2022.101910.pdf,Yes
10.1016_j.ecoinf.2024.102472.pdf,Yes
10.1016_j.ecoinf.2022.101609.pdf,Yes
10.1016_j.ecoinf.2024.102579.pdf,No
78.pdf,Yes
10.1016_j.ecoinf.2024.102495.pdf,Yes
10.1016_j.ecoinf.2023.102451.pdf,Yes
139.pdf,Yes
10.1016_j.ecoinf.2022.101893.pdf,Yes
158.pdf,Yes
10.1016_j.ecoinf.2024.102684.pdf,Yes
10.1016_j.ecoinf.2022.101849.pdf,No
10.1016_j.ecoinf.2024.102653.pdf,Yes
10.1016_j.ecoinf.2024.102521.pdf,Yes
10.1016_j.ecoinf.2023.102045.pdf,No
10.1016_j.ecoinf.2023.102453.pdf,Yes
10.1016_j.ecoinf.2022.101909.pdf,Yes
10.1016_j.ecoinf.2023.102206.pdf,No
10.1016_j.ecoinf.2024.102740.pdf,No
10.1016_j.ecoinf.2022.101899.pdf,No
170.pdf,Yes
10.1016_j.ecoinf.2023.102280.pdf,Yes
10.1016_j.ecoinf.2023.102437.pdf,No
10.1016_j.ecoinf.2021.101495.pdf,Yes
10.1016_j.ecoinf.2024.102566.pdf,No
97.pdf,Yes
10.1016_j.ecoinf.2024.102548.pdf,Yes
10.1016_j.ecoinf.2023.102428.pdf,Yes
10.1016_j.ecoinf.2024.102464.pdf,No
10.1016_j.ecoinf.2024.102466.pdf,Yes
137.pdf,Yes
10.1016_j.ecoinf.2024.102479.pdf,No
10.1016_j.ecoinf.2024.102534.pdf,No
1.pdf,Yes
10.1016_j.ecoinf.2023.102247.pdf,No
175.pdf,Yes
10.1016_j.ecoinf.2024.102568.pdf,Yes
10.1016_j.ecoinf.2024.102723.pdf,Yes
10.1016_j.ecoinf.2024.102588.pdf,Yes
10.1016_j.ecoinf.2023.102421.pdf,No
10.1016_j.ecoinf.2024.102665.pdf,No
100.pdf,Yes
168.pdf,Yes
10.1016_j.ecoinf.2024.102667.pdf,No
10.1016_j.ecoinf.2024.102540.pdf,No
10.1016_j.ecoinf.2023.102410.pdf,No
10.1016_j.ecoinf.2023.102332.pdf,No
10.1016_j.ecoinf.2024.102590.pdf,No
10.1016_j.ecoinf.2024.102576.pdf,Yes
10.1016_j.ecoinf.2024.102460.pdf,Yes
10.1016_j.ecoinf.2024.102572.pdf,No
10.1016_j.ecoinf.2024.102552.pdf,No
10.1016_j.ecoinf.2024.102719.pdf,No
10.1016_j.ecoinf.2024.102691.pdf,Yes
10.1016_j.ecoinf.2022.101659.pdf,No
10.1016_j.ecoinf.2024.102705.pdf,Yes
180.pdf,Yes
10.1016_j.ecoinf.2024.102718.pdf,Yes
10.1016_j.ecoinf.2024.102507.pdf,Yes
10.1016_j.ecoinf.2024.102580.pdf,Yes
7.pdf,Yes
10.1016_j.ecoinf.2023.102363.pdf,Yes
10.1016_j.ecoinf.2023.102272.pdf,Yes
10.1016_j.ecoinf.2024.102593.pdf,Yes
10.1016_j.ecoinf.2024.102751.pdf,No
10.1016_j.ecoinf.2023.102430.pdf,Yes
10.1016_j.ecoinf.2023.102026.pdf,No
147.pdf,Yes
10.1016_j.ecoinf.2023.102200.pdf,Yes
185.pdf,Yes
10.1016_j.ecoinf.2024.102695.pdf,Yes
10.1016_j.ecoinf.2021.101534.pdf,Yes
10.1016_j.ecoinf.2020.101113.pdf,Yes
10.1016_j.ecoinf.2024.102651.pdf,Yes
10.1016_j.ecoinf.2023.102397.pdf,No
10.1016_j.ecoinf.2024.102638.pdf,No
10.1016_j.ecoinf.2023.102402.pdf,No
10.1016_j.ecoinf.2023.102342.pdf,No
10.1016_j.ecoinf.2024.102549.pdf,Yes
10.1016_j.ecoinf.2023.102032.pdf,No
103.pdf,Yes
10.1016_j.ecoinf.2023.101981.pdf,No
10.1016_j.ecoinf.2023.102404.pdf,No
10.1016_j.ecoinf.2021.101236.pdf,Yes
10.1016_j.ecoinf.2024.102500.pdf,No
10.1016_j.ecoinf.2024.102489.pdf,No
10.1016_j.ecoinf.2024.102557.pdf,No
10.1016_j.ecoinf.2024.102501.pdf,Yes
10.1016_j.ecoinf.2024.102647.pdf,No
3.pdf,Yes
10.1016_j.ecoinf.2021.101547.pdf,Yes
10.1016_j.ecoinf.2023.102242.pdf,No
10.1016_j.ecoinf.2024.102595.pdf,Yes
10.1016_j.ecoinf.2023.102046.pdf,Yes
10.1016_j.ecoinf.2024.102624.pdf,No
10.1016_j.ecoinf.2024.102689.pdf,Yes
10.1016_j.ecoinf.2024.102535.pdf,Yes
10.1016_j.ecoinf.2024.102734.pdf,Yes
10.1016_j.ecoinf.2024.102513.pdf,Yes
10.1016_j.ecoinf.2024.102604.pdf,No
10.1016_j.ecoinf.2023.102361.pdf,Yes
169.pdf,Yes
10.1016_j.ecoinf.2021.101252.pdf,Yes
10.1016_j.ecoinf.2023.102384.pdf,Yes
10.1016_j.ecoinf.2021.101284.pdf,No
10.1016_j.ecoinf.2022.101767.pdf,No
24.pdf,Yes
10.1016_j.ecoinf.2023.102388.pdf,No
113.pdf,Yes
20.pdf,Yes
10.1016_j.ecoinf.2024.102586.pdf,No
10.1016_j.ecoinf.2024.102693.pdf,Yes
10.1016_j.ecoinf.2021.101466.pdf,Yes
10.1016_j.ecoinf.2024.102510.pdf,Yes
9.pdf,Yes
10.1016_j.ecoinf.2024.102687.pdf,Yes
10.1016_j.ecoinf.2024.102565.pdf,No
10.1016_j.ecoinf.2024.102606.pdf,Yes
10.1016_j.ecoinf.2024.102582.pdf,No
10.1016_j.ecoinf.2015.08.011.pdf,No
10.1016_j.ecoinf.2024.102461.pdf,No
10.1016_j.ecoinf.2022.101892.pdf,Yes
10.1016_j.ecoinf.2024.102486.pdf,No
10.1016_j.ecoinf.2023.102256.pdf,Yes
43.pdf,Yes
167.pdf,Yes
10.1016_j.ecoinf.2024.102658.pdf,No
10.1016_j.ecoinf.2023.102455.pdf,Yes
10.1016_j.ecoinf.2024.102733.pdf,Yes
10.1016_j.ecoinf.2022.101786.pdf,Yes
10.1016_j.ecoinf.2024.102559.pdf,No
111.pdf,No
10.1016_j.ecoinf.2024.102541.pdf,Yes
10.1016_j.ecoinf.2024.102498.pdf,No
10.1016_j.ecoinf.2024.102546.pdf,No
10.1016_j.ecoinf.2023.102278.pdf,Yes
10.1016_j.ecoinf.2024.102571.pdf,No
130.pdf,No
10.1016_j.ecoinf.2024.102522.pdf,No
10.1016_j.ecoinf.2024.102515.pdf,No
10.1016_j.ecoinf.2023.102383.pdf,Yes
34.pdf,Yes
10.1016_j.ecoinf.2021.101322.pdf,Yes
10.1016_j.ecoinf.2023.102449.pdf,Yes
10.1016_j.ecoinf.2024.102468.pdf,No
10.1016_j.ecoinf.2024.102583.pdf,No
71.pdf,Yes
10.1016_j.ecoinf.2024.102509.pdf,No
10.1016_j.ecoinf.2024.102520.pdf,No
10.1016_j.ecoinf.2020.101154.pdf,No
10.1016_j.ecoinf.2024.102703.pdf,No
25.pdf,Yes
10.1016_j.ecoinf.2022.101955.pdf,No
62.pdf,Yes
10.1016_j.ecoinf.2023.102398.pdf,Yes
5.pdf,Yes
10.1016_j.ecoinf.2024.102711.pdf,Yes
10.1016_j.ecoinf.2023.102214.pdf,No
10.1016_j.ecoinf.2023.101988.pdf,No
10.1016_j.ecoinf.2024.102620.pdf,No
16.pdf,Yes
184.pdf,Yes
10.1016_j.ecoinf.2024.102474.pdf,Yes
12.pdf,Yes
53.pdf,Yes
10.1016_j.ecoinf.2024.102613.pdf,No
10.1016_j.ecoinf.2022.101775.pdf,Yes
177.pdf,Yes
10.1016_j.ecoinf.2024.102738.pdf,No
102.pdf,Yes
10.1016_j.ecoinf.2024.102578.pdf,Yes
10.1016_j.ecoinf.2023.102268.pdf,Yes
44.pdf,Yes
10.1016_j.ecoinf.2024.102707.pdf,Yes
10.1016_j.ecoinf.2024.102499.pdf,Yes
121.pdf,Yes
10.1016_j.ecoinf.2022.101683.pdf,No
189.pdf,Yes
81.pdf,Yes
10.1016_j.ecoinf.2024.102610.pdf,No
10.1016_j.ecoinf.2020.101115.pdf,No
10.1016_j.ecoinf.2024.102729.pdf,No
114.pdf,Yes
10.1016_j.ecoinf.2023.102442.pdf,No
10.1016_j.ecoinf.2024.102685.pdf,No
10.1016_j.ecoinf.2024.102484.pdf,No
10.1016_j.ecoinf.2015.11.011.pdf,No
10.1016_j.ecoinf.2022.101658.pdf,Yes
10.1016_j.ecoinf.2024.102622.pdf,No
10.1016_j.ecoinf.2024.102615.pdf,Yes
10.1016_j.ecoinf.2024.102644.pdf,No
10.1016_j.ecoinf.2024.102661.pdf,Yes
10.1016_j.ecoinf.2024.102516.pdf,Yes
10.1016_j.ecoinf.2024.102657.pdf,Yes
10.1016_j.ecoinf.2022.101657.pdf,No
63.pdf,Yes
10.1016_j.ecoinf.2024.102686.pdf,No
10.1016_j.ecoinf.2024.102623.pdf,Yes
10.1016_j.ecoinf.2024.102562.pdf,Yes
10.1016_j.ecoinf.2024.102569.pdf,No
10.1016_j.ecoinf.2023.102326.pdf,No 
10.1016_j.ecoinf.2022.101777.pdf,No
13.pdf,Yes
10.1016_j.ecoinf.2023.102433.pdf,No
54.pdf,Yes
10.1016_j.ecoinf.2021.101251.pdf,No
10.1016_j.ecoinf.2023.102291.pdf,Yes
10.1016_j.ecoinf.2024.102683.pdf,Yes
10.1016_j.ecoinf.2024.102731.pdf,No
91.pdf,Yes
131.pdf,Yes
10.1016_j.ecoinf.2023.102043.pdf,Yes
10.1016_j.ecoinf.2024.102708.pdf,Yes
10.1016_j.ecoinf.2024.102728.pdf,No
10.1016_j.ecoinf.2023.102456.pdf,No
150.pdf,Yes
10.1016_j.ecoinf.2023.102151.pdf,No
45.pdf,Yes
10.1016_j.ecoinf.2023.102080.pdf,No
10.1016_j.ecoinf.2020.101061.pdf,Yes
82.pdf,Yes
10.1016_j.ecoinf.2024.102699.pdf,Yes
10.1016_j.ecoinf.2024.102721.pdf,Yes
10.1016_j.ecoinf.2024.102463.pdf,Yes
10.1016_j.ecoinf.2021.101496.pdf,No
10.1016_j.ecoinf.2024.102628.pdf,Yes
10.1016_j.ecoinf.2024.102660.pdf,Yes
10.1016_j.ecoinf.2024.102490.pdf,No
117.pdf,Yes
10.1016_j.ecoinf.2024.102697.pdf,No
10.1016_j.ecoinf.2024.102560.pdf,No
10.1016_j.ecoinf.2024.102598.pdf,No
10.1016_j.ecoinf.2023.102250.pdf,Yes
10.1016_j.ecoinf.2017.06.002.pdf,No
10.1016_j.ecoinf.2018.09.004.pdf,No
10.1016_j.ecoinf.2024.102706.pdf,No
10.1016_j.ecoinf.2023.102304.pdf,No
27.pdf,No
10.1016_j.ecoinf.2023.102439.pdf,No
10.1016_j.ecoinf.2023.102405.pdf,No
10.1016_j.ecoinf.2024.102709.pdf,Yes
10.1016_j.ecoinf.2024.102467.pdf,Yes
64.pdf,Yes
10.1016_j.ecoinf.2024.102581.pdf,Yes
10.1016_j.ecoinf.2024.102710.pdf,Yes
10.1016_j.ecoinf.2024.102538.pdf,Yes
10.1016_j.ecoinf.2023.102058.pdf,No
10.1016_j.ecoinf.2023.102047.pdf,Yes
18.pdf,No
10.1016_j.ecoinf.2023.102408.pdf,No
14.pdf,Yes
10.1016_j.ecoinf.2021.101378.pdf,No
141.pdf,Yes
10.1016_j.ecoinf.2023.102127.pdf,No
10.1016_j.ecoinf.2024.102502.pdf,No
10.1016_j.ecoinf.2018.01.003.pdf,No
10.1016_j.ecoinf.2024.102666.pdf,No
10.1016_j.ecoinf.2023.102354.pdf,No
10.1016_j.ecoinf.2024.102642.pdf,Yes
92.pdf,Yes
10.1016_j.ecoinf.2024.102619.pdf,Yes
10.1016_j.ecoinf.2022.101947.pdf,No
10.1016_j.ecoinf.2024.102713.pdf,No
10.1016_j.ecoinf.2024.102643.pdf,No
46.pdf,Yes
10.1016_j.ecoinf.2023.102392.pdf,Yes
10.1016_j.ecoinf.2022.101876.pdf,No
10.1016_j.ecoinf.2024.102735.pdf,No
108.pdf,Yes
10.1016_j.ecoinf.2021.101456.pdf,Yes
10.1016_j.ecoinf.2023.102220.pdf,Yes
42.pdf,Yes
10.1016_j.ecoinf.2024.102497.pdf,No
10.1016_j.ecoinf.2024.102671.pdf,No
10.1016_j.ecoinf.2023.102401.pdf,Yes
127.pdf,Yes
10.1016_j.ecoinf.2023.102346.pdf,No
83.pdf,Yes
10.1016_j.ecoinf.2022.101665.pdf,No
10.1016_j.ecoinf.2023.102432.pdf,No
37.pdf,Yes
10.1016_j.ecoinf.2024.102674.pdf,No
10.1016_j.ecoinf.2023.102407.pdf,Yes
33.pdf,Yes
10.1016_j.ecoinf.2023.101984.pdf,No
10.1016_j.ecoinf.2023.102233.pdf,Yes
10.1016_j.ecoinf.2024.102594.pdf,Yes
10.1016_j.ecoinf.2024.102573.pdf,No
28.pdf,Yes
10.1016_j.ecoinf.2023.102076.pdf,Yes
10.1016_j.ecoinf.2024.102690.pdf,No
10.1016_j.ecoinf.2023.102417.pdf,Yes
65.pdf,Yes
10.1016_j.ecoinf.2022.101782.pdf,No
61.pdf,Yes
151.pdf,Yes
10.1016_j.ecoinf.2024.102720.pdf,No
10.1016_j.ecoinf.2024.102650.pdf,Yes
19.pdf,Yes
10.1016_j.ecoinf.2022.101904.pdf,Yes
125.pdf,Yes
10.1016_j.ecoinf.2021.101314.pdf,No
10.1016_j.ecoinf.2024.102563.pdf,No
56.pdf,No
52.pdf,No
10.1016_j.ecoinf.2024.102639.pdf,No
10.1016_j.ecoinf.2024.102730.pdf,No
10.1016_j.ecoinf.2022.101861.pdf,No
10.1016_j.ecoinf.2023.102394.pdf,Yes
10.1016_j.ecoinf.2023.102333.pdf,Yes
118.pdf,Yes
10.1016_j.ecoinf.2023.102289.pdf,Yes
10.1016_j.ecoinf.2023.102037.pdf,Yes
10.1016_j.ecoinf.2023.102457.pdf,Yes
10.1016_j.ecoinf.2022.101688.pdf,Yes
10.1016_j.ecoinf.2022.101817.pdf,Yes
10.1016_j.ecoinf.2020.101151.pdf,No
10.1016_j.ecoinf.2024.102664.pdf,Yes
47.pdf,Yes
88.pdf,Yes
10.1016_j.ecoinf.2024.102605.pdf,No
10.1016_j.ecoinf.2024.102603.pdf,No
10.1016_j.ecoinf.2023.102409.pdf,Yes
10.1016_j.ecoinf.2023.102399.pdf,No
84.pdf,No
10.1016_j.ecoinf.2023.102454.pdf,No
8.pdf,Yes
10.1016_j.ecoinf.2024.102679.pdf,Yes
10.1016_j.ecoinf.2023.102330.pdf,Yes
38.pdf,Yes
10.1016_j.ecoinf.2021.101290.pdf,No
79.pdf,Yes
10.1016_j.ecoinf.2024.102704.pdf,Yes
75.pdf,Yes
10.1016_j.ecoinf.2024.102465.pdf,Yes
10.1016_j.ecoinf.2024.102517.pdf,Yes
10.1016_j.ecoinf.2023.102396.pdf,No
10.1016_j.ecoinf.2023.102406.pdf,No
10.1016_j.ecoinf.2024.102611.pdf,No
10.1016_j.ecoinf.2023.102431.pdf,No
10.1016_j.ecoinf.2024.102652.pdf,Yes
142.pdf,Yes
10.1016_j.ecoinf.2023.102452.pdf,Yes
10.1016_j.ecoinf.2024.102591.pdf,No
10.1016_j.ecoinf.2024.102714.pdf,No
10.1016_j.ecoinf.2024.102608.pdf,No
66.pdf,Yes
10.1016_j.ecoinf.2023.102364.pdf,No
116.pdf,Yes
10.1016_j.ecoinf.2024.102511.pdf,No
10.1016_j.ecoinf.2023.102082.pdf,Yes
128.pdf,Yes
10.1016_j.ecoinf.2018.12.002.pdf,No
10.1016_j.ecoinf.2024.102481.pdf,No
10.1016_j.ecoinf.2024.102530.pdf,No
10.1016_j.ecoinf.2024.102648.pdf,Yes
10.1016_j.ecoinf.2024.102668.pdf,No
10.1016_j.ecoinf.2019.01.012.pdf,Yes
10.1016_j.ecoinf.2022.101733.pdf,No
10.1016_j.ecoinf.2024.102712.pdf,No
10.1016_j.ecoinf.2024.102677.pdf,Yes
10.1016_j.ecoinf.2020.101086.pdf,No
10.1016_j.ecoinf.2024.102602.pdf,Yes
10.1016_j.ecoinf.2023.102133.pdf,No
10.1016_j.ecoinf.2024.102488.pdf,No
10.1016_j.ecoinf.2024.102680.pdf,Yes
39.pdf,Yes
10.1016_j.ecoinf.2024.102672.pdf,No
10.1016_j.ecoinf.2022.101835.pdf,Yes
133.pdf,Yes
10.1016_j.ecoinf.2024.102597.pdf,No
152.pdf,Yes
10.1016_j.ecoinf.2024.102504.pdf,No
10.1016_j.ecoinf.2022.101721.pdf,Yes
10.1016_j.ecoinf.2023.102232.pdf,No
10.1016_j.ecoinf.2024.102612.pdf,Yes
10.1016_j.ecoinf.2024.102663.pdf,No
10.1016_j.ecoinf.2023.102191.pdf,No
10.1016_j.ecoinf.2024.102725.pdf,No
10.1016_j.ecoinf.2024.102656.pdf,No
145.pdf,Yes
10.1016_j.ecoinf.2023.102444.pdf,No
10.1016_j.ecoinf.2024.102514.pdf,No
67.pdf,Yes
10.1016_j.ecoinf.2024.102732.pdf,No
10.1016_j.ecoinf.2023.102126.pdf,No
10.1016_j.ecoinf.2024.102744.pdf,Yes
10.1016_j.ecoinf.2023.102445.pdf,Yes
10.1016_j.ecoinf.2024.102528.pdf,Yes
119.pdf,Yes
10.1016_j.ecoinf.2024.102670.pdf,Yes
138.pdf,Yes
10.1016_j.ecoinf.2024.102607.pdf,No
10.1016_j.ecoinf.2023.102436.pdf,Yes
10.1016_j.ecoinf.2023.102265.pdf,Yes
58.pdf,Yes
10.1016_j.ecoinf.2023.102403.pdf,No
99.pdf,Yes
10.1016_j.ecoinf.2024.102477.pdf,Yes
10.1016_j.ecoinf.2024.102526.pdf,No
10.1016_j.ecoinf.2024.102618.pdf,Yes
95.pdf,Yes
10.1016_j.ecoinf.2023.102036.pdf,No
10.1016_j.ecoinf.2024.102601.pdf,No
10.1016_j.ecoinf.2024.102627.pdf,Yes
10.1016_j.ecoinf.2023.102450.pdf,Yes
10.1016_j.ecoinf.2024.102519.pdf,No
10.1016_j.ecoinf.2023.102344.pdf,Yes
10.1016_j.ecoinf.2023.102065.pdf,Yes
10.1016_j.ecoinf.2023.102266.pdf,No
10.1016_j.ecoinf.2024.102547.pdf,No
10.1016_j.ecoinf.2021.101464.pdf,No
10.1016_j.ecoinf.2024.102737.pdf,No
10.1016_j.ecoinf.2022.101601.pdf,No
10.1016_j.ecoinf.2024.102564.pdf,No
10.1016_j.ecoinf.2024.102676.pdf,No
162.pdf,Yes
10.1016_j.ecoinf.2023.102285.pdf,No
10.1016_j.ecoinf.2024.102556.pdf,Yes
10.1016_j.ecoinf.2023.102446.pdf,No
10.1016_j.ecoinf.2024.102543.pdf,Yes
10.1016_j.ecoinf.2023.102181.pdf,No
10.1016_j.ecoinf.2024.102698.pdf,Yes
10.1016_j.ecoinf.2023.102257.pdf,No
129.pdf,Yes
10.1016_j.ecoinf.2023.102429.pdf,No
10.1016_j.ecoinf.2022.101754.pdf,No
10.1016_j.ecoinf.2024.102681.pdf,Yes
10.1016_j.ecoinf.2023.102334.pdf,Yes
10.1016_j.ecoinf.2024.102471.pdf,Yes
10.1016_j.ecoinf.2024.102577.pdf,No
10.1016_j.ecoinf.2021.101268.pdf,Yes
10.1016_j.ecoinf.2024.102493.pdf,No
10.1016_j.ecoinf.2024.102462.pdf,Yes
10.1016_j.ecoinf.2023.102215.pdf,Yes
10.1016_j.ecoinf.2024.102482.pdf,No
10.1016_j.ecoinf.2023.102303.pdf,Yes
10.1016_j.ecoinf.2022.101803.pdf,No
160.pdf,Yes
96.pdf,Yes
10.1016_j.ecoinf.2024.102527.pdf,Yes
10.1016_j.ecoinf.2024.102637.pdf,Yes
10.1016_j.ecoinf.2024.102631.pdf,Yes
